characterName,characterNum,weaponName,weaponNum
가넷,76,방망이,3
나딘,6,활,7
나딘,6,석궁,8
나타폰,34,카메라,23
니아,81,권총,9
니키,33,글러브,1
다니엘,37,단검,15
다니엘,37,단검,15
다르코,74,방망이,3
다르코,74,방망이,3
데비&마를렌,65,양손검,16
띠아,48,방망이,3
라우라,47,채찍,4
레녹스,20,채찍,4
레니,69,권총,9
레온,29,글러브,1
레온,29,톤파,2
로지,21,권총,9
루치아,90,저격총,11
루크,22,방망이,3
루크,22,방망이,3
루크,22,방망이,3
르노어,75,기타,22
리 다이린,10,글러브,1
리 다이린,10,글러브,1
리 다이린,10,쌍절곤,20
리오,31,활,7
마르티나,57,카메라,23
마이,45,채찍,4
마커스,53,망치,13
마커스,53,도끼,14
매그너스,4,망치,13
매그너스,4,망치,13
매그너스,4,방망이,3
매그너스,4,방망이,3
미르카,85,망치,13
바냐,64,아르카나,24
바바라,26,권총,9
버니스,25,저격총,11
블레어,84,쌍검,18
비앙카,42,아르카나,24
비형,88,방망이,3
샬럿,73,아르카나,24
세레스,-1,양손검,16
셀린,43,투척,5
쇼우,13,창,19
쇼우,13,단검,15
쇼우,13,단검,15
쇼이치,18,단검,15
수아,28,망치,13
수아,28,방망이,3
슈린,82,레이피어,21
시셀라,15,암기,6
시셀라,15,투척,5
실비아,16,권총,9
아델라,24,레이피어,21
아델라,24,방망이,3
아드리아나,17,투척,5
아디나,52,아르카나,24
아르다,66,아르카나,24
아비게일,67,도끼,14
아야,2,돌격소총,10
아야,2,저격총,11
아야,2,권총,9
아이솔,9,돌격소총,10
아이솔,9,권총,9
아이작,59,톤파,2
알렉스,27,톤파,2
알론소,68,글러브,1
얀,35,톤파,2
얀,35,글러브,1
에스텔,55,도끼,14
에스텔,55,도끼,14
에이든,46,양손검,16
에이든,46,양손검,16
에키온,44,VF의수,25
에키온,44,VF의수,25
에키온,44,VF의수,25
에키온,44,VF의수,25
엘레나,50,레이피어,21
엠마,19,아르카나,24
엠마,19,암기,6
요한,41,아르카나,24
윌리엄,32,투척,5
유민,77,아르카나,24
유스티나,79,석궁,8
유키,11,쌍검,18
유키,11,양손검,16
유키,11,양손검,16
유키,11,쌍검,18
이렘,61,투척,5
이바,36,투척,5
이슈트반,80,창,19
이슈트반,80,창,19
이안,63,단검,15
일레븐,30,망치,13
자히르,5,암기,6
자히르,5,투척,5
재키,1,도끼,14
재키,1,단검,15
재키,1,쌍검,18
재키,1,양손검,16
제니,38,권총,9
츠바메,70,암기,6
카밀로,39,레이피어,21
카밀로,39,쌍검,18
카티야,72,저격총,11
칼라,54,석궁,8
캐시,23,쌍검,18
캐시,23,단검,15
케네스,71,도끼,14
코렐라인,87,아르카나,24
크레이버,89,권총,9
클로에,40,암기,6
키아라,14,레이피어,21
타지아,60,암기,6
테오도르,62,저격총,11
펜리르,86,글러브,1
펜리르,86,글러브,1
펠릭스,49,창,19
프리야,51,기타,22
피오라,3,양손검,16
피오라,3,레이피어,21
피오라,3,창,19
피올로,56,쌍절곤,20
하트,8,기타,22
헤이즈,58,돌격소총,10
헨리,83,암기,6
현우,7,글러브,1
현우,7,톤파,2
혜진,12,활,7
혜진,12,암기,6
히스이,78,양손검,16
