gameId,characterNum,bestWeapon,routeId,mmrBefore,mmrGain,gameRank,equipment
65680950,15,6,50,8753,-48,7,"{""0"": 113405, ""1"": 202419, ""2"": 201503, ""3"": 203507, ""4"": 204415}"
65680950,13,19,0,8850,75,1,"{""0"": 107402, ""1"": 202527, ""2"": 201415, ""3"": 705601, ""4"": 204506}"
65680950,60,6,29,8659,30,3,"{""0"": 113408, ""1"": 202514, ""2"": 201503, ""3"": 705619, ""4"": 204506}"
65680950,2,10,50188,8713,-48,7,"{""0"": 117406, ""1"": 202418, ""2"": 201502, ""3"": 203502, ""4"": 204416}"
65680950,27,9,0,8647,-10,4,"{""0"": 116405, ""1"": 202521, ""2"": 201521, ""3"": 203513, ""4"": 204512}"
65680950,9,10,0,8545,-52,8,"{""0"": 117501, ""1"": 202405, ""2"": 201404, ""3"": 203415, ""4"": 204418}"
65680950,17,5,28528,8730,-54,8,"{""0"": 112501, ""1"": 202404, ""2"": 201410, ""3"": 205201, ""4"": 204419}"
65680950,62,11,303,8661,-26,6,"{""0"": 118505, ""1"": 202503, ""2"": 201505, ""3"": 203506, ""4"": 204503}"
65680950,31,7,0,10906,-41,5,"{""0"": 114504, ""1"": 202509, ""2"": 201518, ""3"": 205501, ""4"": 204504}"
65680950,34,23,14299,9482,-16,4,"{""0"": 122502, ""1"": 202508, ""2"": 201503, ""3"": 203512, ""4"": 204410}"
65680950,76,3,34985,8501,-21,5,"{""0"": 108501, ""1"": 202522, ""2"": 201415, ""3"": 203504, ""4"": 204401}"
65680950,16,9,14182,8517,-8,4,"{""0"": 116403, ""1"": 202503, ""2"": 705620, ""3"": 705619, ""4"": 204410}"
65680950,50,21,6183,9170,-58,8,"{""0"": 120406, ""1"": 202402, ""2"": 201407, ""3"": 205404, ""4"": 204412}"
65680950,28,3,47459,8511,-21,5,"{""0"": 104405, ""1"": 202503, ""2"": 205503, ""3"": 705619, ""4"": 204505}"
65680950,35,2,0,8674,77,1,"{""0"": 111503, ""1"": 202514, ""2"": 201423, ""3"": 203404, ""4"": 204501}"
65680950,78,16,39966,8858,-50,7,"{""0"": 102406, ""1"": 202505, ""2"": 201418, ""3"": 203503, ""4"": 204411}"
65680950,37,15,0,8746,44,3,"{""0"": 101503, ""1"": 202515, ""2"": 201408, ""3"": 203514, ""4"": 204504}"
65680950,79,8,8007,9016,42,3,"{""0"": 115504, ""1"": 202501, ""2"": 201503, ""3"": 203510, ""4"": 204414}"
65680950,33,1,0,8889,-28,6,"{""0"": 110504, ""1"": 202503, ""2"": 201423, ""3"": 203506, ""4"": 204411}"
65680950,38,9,43602,9421,24,3,"{""0"": 116502, ""1"": 202503, ""2"": 201505, ""3"": 203413, ""4"": 204502}"
65680950,72,11,8609,8866,75,1,"{""0"": 118404, ""1"": 202510, ""2"": 201525, ""3"": 205408, ""4"": 204507}"
65680950,28,13,0,8774,-26,6,"{""0"": 104404, ""1"": 202508, ""2"": 201520, ""3"": 705619, ""4"": 204406}"
