characterName,weaponName,routeId,pick_count,avg_rp_gain,reference_score
혜진,활,5096,30,26.8점,14.39
헨리,암기,7791,33,24.2점,13.64
클로에,암기,19232,60,19.0점,13.35
캐시,쌍검,16487,42,21.4점,13.3
재키,양손검,36683,49,19.0점,12.54
마커스,망치,27277,75,15.9점,11.92
리 다이린,글러브,59,110,14.2점,11.6
샬럿,아르카나,7053,84,14.0점,10.82
펜리르,글러브,4883,49,16.2점,10.79
타지아,암기,22963,57,15.3점,10.7
비형,방망이,45011,34,18.0점,10.52
르노어,기타,13051,97,13.1점,10.45
유키,쌍검,23982,50,15.4점,10.39
캐시,단검,3407,80,13.2점,10.17
카밀로,레이피어,707,37,16.4점,9.95
알론소,글러브,237,94,12.4점,9.88
비앙카,아르카나,13933,50,14.3점,9.69
다르코,방망이,1071,45,14.6점,9.58
바냐,아르카나,41589,32,16.6점,9.54
나딘,석궁,41180,82,11.7점,9.11
니키,글러브,5033,100,11.0점,8.93
피올로,쌍절곤,8258,53,12.7점,8.84
수아,방망이,3073,553,9.0점,8.66
버니스,저격총,88,398,9.1점,8.59
엠마,아르카나,13878,38,13.8점,8.58
아야,권총,4462,56,11.8점,8.4
피오라,레이피어,13299,34,14.0점,8.38
유키,양손검,2990,140,9.6점,8.3
루크,방망이,21511,53,11.3점,7.93
재키,쌍검,6665,126,9.3점,7.89
슈린,레이피어,2129,131,9.2점,7.86
유민,아르카나,2567,43,11.7점,7.71
레온,글러브,3172,217,8.5점,7.69
헤이즈,돌격소총,27863,30,13.2점,7.61
혜진,암기,13893,69,10.0점,7.59
쇼우,단검,7089,47,11.0점,7.47
라우라,채찍,27342,34,12.0점,7.32
하트,기타,20097,52,10.2점,7.21
얀,톤파,42139,207,8.0점,7.21
아드리아나,투척,28528,438,7.5점,7.17
재키,도끼,44286,35,11.6점,7.16
아이솔,권총,5058,75,9.1점,7.1
아르다,아르카나,499,83,8.8점,7.02
에스텔,도끼,3316,64,9.3점,6.97
마이,채찍,4127,125,8.0점,6.82
리 다이린,쌍절곤,7527,38,10.6점,6.79
아이솔,돌격소총,39750,60,8.8점,6.54
테오도르,저격총,303,236,7.1점,6.52
자히르,투척,6642,153,7.3점,6.46
셀린,투척,4656,158,7.1점,6.31
에키온,VF의수,21409,131,7.1점,6.14
아이작,톤파,4288,116,7.0점,5.95
미르카,망치,772,141,6.8점,5.93
크레이버,권총,16844,30,9.6점,5.82
로지,권총,4210,45,8.3점,5.77
제니,권총,45201,33,9.0점,5.66
아디나,아르카나,105,37,8.4점,5.54
실비아,권총,14182,264,5.7점,5.36
엠마,암기,42930,49,7.4점,5.35
이슈트반,창,6684,30,8.5점,5.27
마르티나,카메라,49527,38,7.6점,5.11
띠아,방망이,893,65,6.5점,5.1
에이든,양손검,28263,52,6.8점,5.07
펠릭스,창,457,64,6.4점,4.97
카밀로,쌍검,44409,33,7.6점,4.94
니아,권총,4157,86,5.9점,4.91
루치아,저격총,42638,37,7.2점,4.9
윌리엄,투척,4717,290,5.1점,4.85
시셀라,암기,50,215,5.1점,4.68
데비&마를렌,양손검,34991,112,5.1점,4.48
시셀라,투척,31129,57,5.4점,4.26
케네스,도끼,8519,63,5.3점,4.23
아야,돌격소총,10525,231,4.5점,4.23
아델라,방망이,3815,282,4.2점,4.01
블레어,쌍검,16786,30,5.8점,3.91
얀,글러브,16853,63,4.8점,3.89
유스티나,석궁,8009,95,4.3점,3.72
히스이,양손검,39966,40,4.8점,3.61
칼라,석궁,6143,264,3.8점,3.59
쇼이치,단검,34995,50,4.5점,3.59
매그너스,방망이,8989,39,4.3점,3.31
이바,투척,5883,38,4.2점,3.23
현우,톤파,22622,65,3.8점,3.22
프리야,기타,817,66,3.4점,2.97
가넷,방망이,1699,41,3.7점,2.96
자히르,암기,3087,77,3.3점,2.95
엘레나,레이피어,27367,48,2.9점,2.54
재키,단검,7260,48,2.7점,2.45
나타폰,카메라,9171,53,2.6점,2.4
일레븐,망치,1125,329,2.3점,2.31
카티야,저격총,8609,298,2.3점,2.26
쇼우,창,13937,34,1.9점,1.98
레녹스,채찍,5904,125,2.0점,1.98
바바라,권총,15524,86,1.7점,1.78
다니엘,단검,7777,55,1.5점,1.69
매그너스,망치,2153,60,1.4점,1.59
이렘,투척,10662,210,1.5점,1.58
코렐라인,아르카나,1962,362,1.3점,1.33
리오,활,5212,922,1.3점,1.3
키아라,레이피어,33736,83,1.0점,1.25
츠바메,암기,9394,733,1.2점,1.23
아델라,레이피어,13552,66,0.8점,1.21
아야,저격총,19834,37,0.0점,0.9
마커스,도끼,35,329,0.8점,0.87
아비게일,도끼,3687,651,-0.7점,-0.58
피오라,양손검,13857,61,-3.3점,-1.52
레니,권총,2859,71,-3.7점,-1.98
현우,글러브,2001,101,-3.4점,-2.16
